cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,neutron-1-cosmosvalcons,neutron-1-address,stride-1-cosmosvalcons,stride-1-address
cosmosvaloper1qphf0ferqcch0jca9hlqfm3x0eds3dpkcvpafp,cosmos1qphf0ferqcch0jca9hlqfm3x0eds3dpkac4g9j,test kim,voVoXB0ArzZ57NgZgyAhrwa0mVabPijeqT0ebQJYPPc=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1q9p73lx07tjqc34vs8jrsu5pg3q4ha534uqv4w,cosmos1q9p73lx07tjqc34vs8jrsu5pg3q4ha53sg5eea,Unstake as we will shut down,Y3FwPLeVHUhR+Or59OJ1SCq0OiS/tBye2YdKA3dzy/s=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1qgju44qz5e2y2v9azkqfs8n7d97lg97008qgjz,cosmos1qgju44qz5e2y2v9azkqfs8n7d97lg9702n5a73,nysa.network,giyspSi9QoGIGXeNKniALJcvMDq9333BwRJSFvOCaP0=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1q2v728c5g8ggvrr7dgc4madt9px2hlpdxpfmug,cosmos1q2v728c5g8ggvrr7dgc4madt9px2hlpdr4awsm,ContributionDAO,4qphWCf8W4x9dQM6KP8zx6FFnWov27Y3iyp2GzHP4hA=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1qtxec3ggeuwnca9mmngw7vf6ctw54cppey02fs,cosmos1qtxec3ggeuwnca9mmngw7vf6ctw54cppusml9r,tokenpocket,eM06fEUTaklyswDIY1gd40S91PpMqV+laD6o0l582k8=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1qdxmyqkvt8jsxpn5pp45a38ngs36mn2604cqk9,cosmos1qdxmyqkvt8jsxpn5pp45a38ngs36mn262pv46k,真本聪&IOSG,2BX6Zuj8RmdJAkD1BAg6KB0v04liyM7jBdwOGIb9F9Q=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1qwl879nx9t6kef4supyazayf7vjhennyh568ys,cosmos1qwl879nx9t6kef4supyazayf7vjhennyjqwjgr,Certus One,cOQZvh/h9ZioSeUMZB/1Vy1Xo5x2sjrVjlE/qHnYifM=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z52uzay,cosmos1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z37gh3h,Castlenode,hATVIEvJ1NEt5g9i59iH+a8oaEFtErP227Qw7kgpWTc=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1q6d3d089hg59x6gcx92uumx70s5y5wadklue8s,cosmos1q6d3d089hg59x6gcx92uumx70s5y5wadntgvtr,Ubik Capital 0%Fee,uEUR1gpesU4bnSWL2TOXOf3org2mCYhQHMYkiCJyMD4=,0ABBA36C54DD0CA6A790AEF96A01D4392E36345F,cosmosvalcons1p2a6xmz5m5x2dfus4muk5qw58yhrvdzltw4q4u,BOND_STATUS_BONDED,cosmosvalcons1nhqlqp8ludmcuyyrgqkacleh637m67lgul7ys8,9DC1F004FFE3778E1083402DDC7F37D47DBD7BE8,cosmosvalcons1pgrg8ks36gy376ew279ly8vptknp4r64j9awjh,0A0683DA11D2091F6B2E578BF21D815DA61A8F55
cosmosvaloper1qmr8acxu0d9ytase8v9mza6k96y479getstqn2,cosmos1qmr8acxu0d9ytase8v9mza6k96y479gewyl4le,CryptoGoose,7DqASpEZb15tlS8kIteAsBcr4OhdPrWoGg5+nIQO1EI=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1qa8jpt4kuqq73vgen2w7julkelgursygqx4y69,cosmos1qa8jpt4kuqq73vgen2w7julkelgursyg9jp3kk,suyuuuuuuu,UL4BJDjdcxs9K8l3kqA35CtJg68OEs4DzKzNjhCk4SY=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1qa6x6sl9lsw9neceqccndwnnnm50ldq800x4dq,cosmos1qa6x6sl9lsw9neceqccndwnnnm50ldq82mjqpn,bitszn,QGVtDX/SksMy9iAShygkGVs3yoCHzItXX3qtyrSUIng=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,GAME,Qajjf1kiAJ0M1UcH1TSUYLP13kgE128Av1XmGQO711c=,F59734A896A7689436BC3422244FD862AE189C5C,cosmosvalcons17ktnf2yk5a5fgd4uxs3zgn7cv2hp38zuw8j35e,BOND_STATUS_BONDED,cosmosvalcons1tprq64r6860y9lya8h9l2nfpzy7fh8kzg5vall,58460D547A3E9E42FC9D3DCBF54D21113C9B9EC2,cosmosvalcons1dtx8hwj6u274swajqarm76xy8v32paytj4za9f,6ACC7BBA5AE2BD583BB20747BF68C43B22A0F48B
cosmosvaloper1pp82zzdgf4cvgwkkutkwnfu9vzcm6rpryn2wcc,cosmos1pp82zzdgf4cvgwkkutkwnfu9vzcm6rprp87m5t,Nodeist,lvBUI9vDOZe2emrgOyubZHRR+LowYbt1z9333Mi6dKc=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1pz0lfq40sa63n0wany3v95x3yvznc5gyf8u28w,cosmos1pz0lfq40sa63n0wany3v95x3yvznc5gyvnglta,Cobo,Y+Iy4Vpxz1gBzxNAguGmqYzkTi1qoad2Jo10vZ4zNxo=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1prvhg36trh0y7dajrlny6h9qhp0cpwh0nl3p7k,cosmos1prvhg36trh0y7dajrlny6h9qhp0cpwh0kt95j9,liwei,rOCY9l/86nyr95IlB7tPvRwnPhkDoxGTJXpvuDIbxzk=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1pxsmjzan4u833l5s72pzamlurcgk2g5m65xjlj,cosmos1pxsmjzan4u833l5s72pzamlurcgk2g5mlqj8np,MyCointainer,mLUEzU9eAQdiRcAXhPXNq4dxkW2rj3RDGw3mvgDfhhM=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1pgsjyvkg3y2m7qas534zzdhsqsxqyph2jh3uck,cosmos1pgsjyvkg3y2m7qas534zzdhsqsxqyph2hr9f59,OneSixtyTwo,osmOXFMMuO+MsSBT8eetbZ49au0ZBI2lm/yVmzW0gAY=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1pffsadvlewevatmf6kpy0mtdkre2mzzre3zhe6,cosmos1pffsadvlewevatmf6kpy0mtdkre2mzzru9kz4f,Pathrocknetwork,zufzov5jk6cs+VefLvN3u8mGoiBlkXWp6Vo8XQXp1/w=,,,BOND_STATUS_UNBONDED,,,,
