Block 4421202
cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,pion-1-cosmosvalcons,pion-1-address
cosmosvaloper1qp4y2esacc2jmepxcqlw440p6xas8j6t9g438v,cosmos1qp4y2esacc2jmepxcqlw440p6xas8j6tqupytl,POSTHUMAN∞DVS,goAyTrHPgBBEhay6FISMzTObWBHQab93kabC2s4HRRA=,,,BOND_STATUS_UNBONDING,,
cosmosvaloper1q422p5m0gej7gp43385thsfpmjuwql72a9g3am,cosmos1q422p5m0gej7gp43385thsfpmjuwql72c3uy3g,a41,d1pL2k+uAuK++sumfQ/d0LQrvdn+gtFwbgcuhURj5ds=,2064E3A0045AE98D32CBFBCEAF98334B177A0D59,cosmosvalcons1ypjw8gqytt5c6vktl082lxpnfvth5r2e3qsaqg,BOND_STATUS_BONDED,cosmosvalcons1ypjw8gqytt5c6vktl082lxpnfvth5r2e3qsaqg,2064E3A0045AE98D32CBFBCEAF98334B177A0D59
cosmosvaloper1q7wem3j4w52yw7tnrcuws3kgxcrwqvjx66up4y,cosmos1q7wem3j4w52yw7tnrcuws3kgxcrwqvjxlwg5eh,ledger,KTlLlLPKXOp8QL/4eK5GeyArtIDqXmSm27LjTGyreLc=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1pqdcgaa42ugctkwue8jtz2mfvh6yjqzem46fn4,cosmos1pqdcgaa42ugctkwue8jtz2mfvh6yjqze7pwulx,Commons Hub,uSdKBTUfYN4ekUyXOxi5gmq282WK99dfUqww962s/YU=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1px6cnaw3seh34kgpw82m0kl47zz7420t4cpac5,cosmos1px6cnaw3seh34kgpw82m0kl47zz7420tsv4g58,cardex,qS5xYxDbddIAdiGKfTtny7WescbTjOa2bFp3F4gW6pw=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1p82930all3h2mk4xeets4yhu4yr7ktc9phw7qq,cosmos1p82930all3h2mk4xeets4yhu4yr7ktc9yr6tvn,nRn8ClDgHi,r2LL/jnMnA56ScN0Yuikdluq07lfbN/RnqH7CJ43TgU=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1pfvkjn2hjdl963k9mpcyu8lrpjl0l7n2a5weqx,cosmos1pfvkjn2hjdl963k9mpcyu8lrpjl0l7n2cq6vv4,SG-1,qQweNUP4nF4U1MAus0ONM5lGHoDUTrXzMrgHj/PjHrA=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1pd7kfh9ex90804rgguv9uga8t5tvgr9f227ewl,cosmos1pd7kfh9ex90804rgguv9uga8t5tvgr9f072vzv,Moonlet,mpURL3K4QLcgGyZf4FSYzeTBijb4AM89g1xUPgRKDlk=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1pwytf2e2n5nw2qehhg08ddcznmglhsrcq8vqmw,cosmos1pwytf2e2n5nw2qehhg08ddcznmglhsrc9nc4ha,GATADAO,XeiREKe/z4mT4R1lWXhahRZRUOf53cSC/9VeLPZX58A=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1pjt45r8280prs5td4xc2fzuazdvp9c53qnqvy6,cosmos1pjt45r8280prs5td4xc2fzuazdvp9c53985egf,w3coins,gy3xVprcUW39A5EMlY/7epC8y0geFCH13Qy5LRuAP7Q=,3D065D6DB8D49F9283D3642451DABF0F6CC1759E,cosmosvalcons185r96mdc6j0e9q7nvsj9rk4lpakvzav7crysk6,BOND_STATUS_BONDED,cosmosvalcons185r96mdc6j0e9q7nvsj9rk4lpakvzav7crysk6,3D065D6DB8D49F9283D3642451DABF0F6CC1759E
